index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
2464	f eɪ ɹ	f eɪ ɹ d	fare	fared	⋊ f e ɹ ⋉	⋊ f e ɹ d ⋉
2465	f ɚ m ɛ n t	f ɚ m ɛ n t ə d	ferment	fermented	⋊ f ɛ ɹ m ɛ n t ⋉	⋊ f ɛ ɹ m ɛ n t ɪ d ⋉
2466	f ɹ eɪ	f ɹ eɪ d	fray	frayed	⋊ f ɹ e ⋉	⋊ f ɹ e d ⋉
2467	g a l f	g a l f t	golf	golfed	⋊ g a l f ⋉	⋊ g a l f t ⋉
2468	ɪ n s t ɪ l	ɪ n s t ɪ l d	instil	instilled	⋊ ɪ n s t ɪ l ⋉	⋊ ɪ n s t ɪ l d ⋉
2469	ɪ n t ɚ s p ɚ s	ɪ n t ɚ s p ɚ s t	intersperse	interspersed	⋊ ɪ n t ɛ ɹ s p ɛ ɹ s ⋉	⋊ ɪ n t ɛ ɹ s p ɛ ɹ s t ⋉
2470	l oʊ	l oʊ d	low	lowed	⋊ l o ⋉	⋊ l o d ⋉
2471	p ɛ g	p ɛ g d	peg	pegged	⋊ p ɛ g ⋉	⋊ p ɛ g d ⋉
2472	s k æ m p ɚ	s k æ m p ɚ d	scamper	scampered	⋊ s k ɑ m p ɛ ɹ ⋉	⋊ s k ɑ m p ɛ ɹ d ⋉
2473	s ɪ n θ ə s aɪ z	s ɪ n θ ə s aɪ z d	synthesize	synthesized	⋊ s ɪ n θ ə s a ɪ z ⋉	⋊ s ɪ n θ ə s a ɪ z d ⋉
2474	t ɹ æ n s p l æ n t	t ɹ æ n s p l æ n t ə d	transplant	transplanted	⋊ t ɹ ɑ n s p l ɑ n t ⋉	⋊ t ɹ ɑ n s p l ɑ n t ɪ d ⋉
2475	ə s eɪ l	ə s eɪ l d	assail	assailed	⋊ ə s e l ⋉	⋊ ə s e l d ⋉
2476	b oʊ l s t ɚ	b oʊ l s t ɚ d	bolster	bolstered	⋊ b o l s t ɛ ɹ ⋉	⋊ b o l s t ɛ ɹ d ⋉
2477	b ɔɪ k a t	b ɔɪ k a t ə d	boycott	boycotted	⋊ b ɔ ɪ k a t ⋉	⋊ b ɔ ɪ k a t ɪ d ⋉
2478	b ɹ eɪ d	b ɹ eɪ d ə d	braid	braided	⋊ b ɹ e d ⋉	⋊ b ɹ e d ɪ d ⋉
2479	k ə m j u t	k ə m j u t ə d	commute	commuted	⋊ k ə m j u t ⋉	⋊ k ə m j u t ɪ d ⋉
2480	k oʊ ɹ ə g eɪ t	k oʊ ɹ ə g eɪ t ə d	corrugate	corrugated	⋊ k o ɹ ə g e t ⋉	⋊ k o ɹ ə g e t ɪ d ⋉
2481	d æ m p	d æ m p t	damp	damped	⋊ d ɑ m p ⋉	⋊ d ɑ m p t ⋉
2482	f l ɔ n t	f l ɔ n t ə d	flaunt	flaunted	⋊ f l ɔ n t ⋉	⋊ f l ɔ n t ɪ d ⋉
2483	l ɔɪ t ɚ	l ɔɪ t ɚ d	loiter	loitered	⋊ l ɔ ɪ t ɛ ɹ ⋉	⋊ l ɔ ɪ t ɛ ɹ d ⋉
2484	l ʌ l	l ʌ l d	lull	lulled	⋊ l ʌ l ⋉	⋊ l ʌ l d ⋉
2485	m ʌ ð ɚ	m ʌ ð ɚ d	mother	mothered	⋊ m ʌ ð ɛ ɹ ⋉	⋊ m ʌ ð ɛ ɹ d ⋉
2486	p eɪ ɹ	p eɪ ɹ d	pair	paired	⋊ p e ɹ ⋉	⋊ p e ɹ d ⋉
2487	p ɚ v ɚ t	p ɚ v ɚ t ə d	pervert	perverted	⋊ p ɛ ɹ v ɛ ɹ t ⋉	⋊ p ɛ ɹ v ɛ ɹ t ɪ d ⋉
2488	p a k ɪ t	p a k ɪ t ə d	pocket	pocketed	⋊ p a k ɪ t ⋉	⋊ p a k ɪ t ɪ d ⋉
2489	ɹ ɛ k ə l ɛ k t	ɹ ɛ k ə l ɛ k t ə d	recollect	recollected	⋊ ɹ ɛ k ə l ɛ k t ⋉	⋊ ɹ ɛ k ə l ɛ k t ɪ d ⋉
2490	ɹ i d ɹ ɛ s	ɹ i d ɹ ɛ s t	redress	redressed	⋊ ɹ i d ɹ ɛ s ⋉	⋊ ɹ i d ɹ ɛ s t ⋉
2491	ɹ u m ɚ	ɹ u m ɚ d	rumour	rumoured	⋊ ɹ u m ɛ ɹ ⋉	⋊ ɹ u m ɛ ɹ d ⋉
2492	s aɪ t	s aɪ t ə d	sight	sighted	⋊ s a ɪ t ⋉	⋊ s a ɪ t ɪ d ⋉
2493	s aɪ z	s aɪ z d	size	sized	⋊ s a ɪ z ⋉	⋊ s a ɪ z d ⋉
2494	s l æ n t	s l æ n t ə d	slant	slanted	⋊ s l ɑ n t ⋉	⋊ s l ɑ n t ɪ d ⋉
2495	s l a p	s l a p t	slop	slopped	⋊ s l a p ⋉	⋊ s l a p t ⋉
2496	s p æ t ɚ	s p æ t ɚ d	spatter	spattered	⋊ s p ɑ t ɛ ɹ ⋉	⋊ s p ɑ t ɛ ɹ d ⋉
2497	s t ɹ æ d ə l	s t ɹ æ d ə l d	straddle	straddled	⋊ s t ɹ ɑ d ə l ⋉	⋊ s t ɹ ɑ d ə l d ⋉
2498	t eɪ ɹ ə ɹ aɪ z	t eɪ ɹ ə ɹ aɪ z d	terrorize	terrorized	⋊ t e ɹ ə ɹ a ɪ z ⋉	⋊ t e ɹ ə ɹ a ɪ z d ⋉
2499	ʌ n dʒ u l eɪ t	ʌ n dʒ u l eɪ t ə d	undulate	undulated	⋊ ʌ n d ʒ u l e t ⋉	⋊ ʌ n d ʒ u l e t ɪ d ⋉
2500	b ɹ eɪ n w ɔ ʃ	b ɹ eɪ n w ɔ ʃ t	brainwash	brainwashed	⋊ b ɹ e n w ɔ ʃ ⋉	⋊ b ɹ e n w ɔ ʃ t ⋉
2501	b ɹ ɪ m	b ɹ ɪ m d	brim	brimmed	⋊ b ɹ ɪ m ⋉	⋊ b ɹ ɪ m d ⋉
2502	b ʊ tʃ ɚ	b ʊ tʃ ɚ d	butcher	butchered	⋊ b ʊ t ʃ ɛ ɹ ⋉	⋊ b ʊ t ʃ ɛ ɹ d ⋉
2503	tʃ a ɹ	tʃ a ɹ d	char	charred	⋊ t ʃ a ɹ ⋉	⋊ t ʃ a ɹ d ⋉
2504	k ʌ l	k ʌ l d	cull	culled	⋊ k ʌ l ⋉	⋊ k ʌ l d ⋉
2505	d i s ɛ n t ɹ ə l aɪ z	d i s ɛ n t ɹ ə l aɪ z d	decentralize	decentralized	⋊ d i s ɛ n t ɹ ə l a ɪ z ⋉	⋊ d i s ɛ n t ɹ ə l a ɪ z d ⋉
2506	d ɪ f j u z	d ɪ f j u z d	diffuse	diffused	⋊ d ɪ f j u z ⋉	⋊ d ɪ f j u z d ⋉
2507	d ɪ s g ɹ eɪ s	d ɪ s g ɹ eɪ s t	disgrace	disgraced	⋊ d ɪ s g ɹ e s ⋉	⋊ d ɪ s g ɹ e s t ⋉
2508	ɪ m b ɪ t ɚ	ɪ m b ɪ t ɚ d	embitter	embittered	⋊ ɪ m b ɪ t ɛ ɹ ⋉	⋊ ɪ m b ɪ t ɛ ɹ d ⋉
2509	ɪ m p aʊ ɚ	ɪ m p aʊ ɚ d	empower	empowered	⋊ ɪ m p a ʊ ɛ ɹ ⋉	⋊ ɪ m p a ʊ ɛ ɹ d ⋉
2510	f oʊ ɹ k	f oʊ ɹ k t	fork	forked	⋊ f o ɹ k ⋉	⋊ f o ɹ k t ⋉
2511	f oʊ ɹ m ə l aɪ z	f oʊ ɹ m ə l aɪ z d	formalize	formalized	⋊ f o ɹ m ə l a ɪ z ⋉	⋊ f o ɹ m ə l a ɪ z d ⋉
2512	f ɹ ɪ k w ɛ n t	f ɹ ɪ k w ɛ n t ə d	frequent	frequented	⋊ f ɹ ɪ k w ɛ n t ⋉	⋊ f ɹ ɪ k w ɛ n t ɪ d ⋉
2513	ɪ n s t ə t u t	ɪ n s t ə t u t ə d	institute	instituted	⋊ ɪ n s t ə t u t ⋉	⋊ ɪ n s t ə t u t ɪ d ⋉
2514	l ɛ v i	l ɛ v i d	levy	levied	⋊ l ɛ v i ⋉	⋊ l ɛ v i d ⋉
2515	l oʊ k ə l aɪ z	l oʊ k ə l aɪ z d	localize	localized	⋊ l o k ə l a ɪ z ⋉	⋊ l o k ə l a ɪ z d ⋉
2516	p oʊ l ə ɹ aɪ z	p oʊ l ə ɹ aɪ z d	polarize	polarized	⋊ p o l ə ɹ a ɪ z ⋉	⋊ p o l ə ɹ a ɪ z d ⋉
2517	p ɹ oʊ l ɪ f ɚ eɪ t	p ɹ oʊ l ɪ f ɚ eɪ t ə d	proliferate	proliferated	⋊ p ɹ o l ɪ f ɛ ɹ e t ⋉	⋊ p ɹ o l ɪ f ɛ ɹ e t ɪ d ⋉
2518	ɹ i ə f ɚ m	ɹ i ə f ɚ m d	reaffirm	reaffirmed	⋊ ɹ i ə f ɛ ɹ m ⋉	⋊ ɹ i ə f ɛ ɹ m d ⋉
2519	ɹ i s ɚ tʃ	ɹ i s ɚ tʃ t	research	researched	⋊ ɹ i s ɛ ɹ t ʃ ⋉	⋊ ɹ i s ɛ ɹ t ʃ t ⋉
2520	s p ɹ ɪ n t	s p ɹ ɪ n t ə d	sprint	sprinted	⋊ s p ɹ ɪ n t ⋉	⋊ s p ɹ ɪ n t ɪ d ⋉
2521	s t ʌ m p	s t ʌ m p t	stump	stumped	⋊ s t ʌ m p ⋉	⋊ s t ʌ m p t ⋉
2522	s w i t ə n	s w i t ə n d	sweeten	sweetened	⋊ s w i t ə n ⋉	⋊ s w i t ə n d ⋉
2523	θ ɹ ɛ ʃ	θ ɹ ɛ ʃ t	thresh	threshed	⋊ θ ɹ ɛ ʃ ⋉	⋊ θ ɹ ɛ ʃ t ⋉
2524	t ɪ n dʒ	t ɪ n dʒ d	tinge	tinged	⋊ t ɪ n d ʒ ⋉	⋊ t ɪ n d ʒ d ⋉
2525	ʌ n ɹ oʊ l	ʌ n ɹ oʊ l d	unroll	unrolled	⋊ ʌ n ɹ o l ⋉	⋊ ʌ n ɹ o l d ⋉
2526	j u s ɚ p	j u s ɚ p t	usurp	usurped	⋊ j u s ɛ ɹ p ⋉	⋊ j u s ɛ ɹ p t ⋉
2527	v ɛ t	v ɛ t ə d	vet	vetted	⋊ v ɛ t ⋉	⋊ v ɛ t ɪ d ⋉
2528	æ m b ʊ ʃ	æ m b ʊ ʃ t	ambush	ambushed	⋊ ɑ m b ʊ ʃ ⋉	⋊ ɑ m b ʊ ʃ t ⋉
2529	b a m b a ɹ d	b a m b a ɹ d ə d	bombard	bombarded	⋊ b a m b a ɹ d ⋉	⋊ b a m b a ɹ d ɪ d ⋉
2530	d ɛ l ɪ g eɪ t	d ɛ l ɪ g eɪ t ə d	delegate	delegated	⋊ d ɛ l ɪ g e t ⋉	⋊ d ɛ l ɪ g e t ɪ d ⋉
2531	d ɪ s ɛ m ɪ n eɪ t	d ɪ s ɛ m ɪ n eɪ t ə d	disseminate	disseminated	⋊ d ɪ s ɛ m ɪ n e t ⋉	⋊ d ɪ s ɛ m ɪ n e t ɪ d ⋉
2532	ɪ n l aɪ t ə n	ɪ n l aɪ t ə n d	enlighten	enlightened	⋊ ɪ n l a ɪ t ə n ⋉	⋊ ɪ n l a ɪ t ə n d ⋉
2533	ɪ n l aɪ v ə n	ɪ n l aɪ v ə n d	enliven	enlivened	⋊ ɪ n l a ɪ v ə n ⋉	⋊ ɪ n l a ɪ v ə n d ⋉
2534	f ɛ ð ɚ	f ɛ ð ɚ d	feather	feathered	⋊ f ɛ ð ɛ ɹ ⋉	⋊ f ɛ ð ɛ ɹ d ⋉
2535	f ə l eɪ	f ə l eɪ d	fillet	filleted	⋊ f ə l e ⋉	⋊ f ə l e d ⋉
2536	f l eɪ l	f l eɪ l d	flail	flailed	⋊ f l e l ⋉	⋊ f l e l d ⋉
2537	g æ s	g æ s t	gas	gassed	⋊ g ɑ s ⋉	⋊ g ɑ s t ⋉
2538	g l oʊ ɹ ɪ f aɪ	g l oʊ ɹ ɪ f aɪ d	glorify	glorified	⋊ g l o ɹ ɪ f a ɪ ⋉	⋊ g l o ɹ ɪ f a ɪ d ⋉
2539	ɪ n k ɹ ɪ m ɪ n eɪ t	ɪ n k ɹ ɪ m ɪ n eɪ t ə d	incriminate	incriminated	⋊ ɪ n k ɹ ɪ m ɪ n e t ⋉	⋊ ɪ n k ɹ ɪ m ɪ n e t ɪ d ⋉
2540	ɪ n t ɚ t w aɪ n	ɪ n t ɚ t w aɪ n d	intertwine	intertwined	⋊ ɪ n t ɛ ɹ t w a ɪ n ⋉	⋊ ɪ n t ɛ ɹ t w a ɪ n d ⋉
2541	l ɛ dʒ ɪ s l eɪ t	l ɛ dʒ ɪ s l eɪ t ə d	legislate	legislated	⋊ l ɛ d ʒ ɪ s l e t ⋉	⋊ l ɛ d ʒ ɪ s l e t ɪ d ⋉
2542	m eɪ m	m eɪ m d	maim	maimed	⋊ m e m ⋉	⋊ m e m d ⋉
2543	m a d ə ɹ eɪ t	m a d ə ɹ eɪ t ə d	moderate	moderated	⋊ m a d ə ɹ e t ⋉	⋊ m a d ə ɹ e t ɪ d ⋉
2544	oʊ v ɚ ɛ s t ɪ m eɪ t	oʊ v ɚ ɛ s t ɪ m eɪ t ə d	overestimate	overestimated	⋊ o v ɛ ɹ ɛ s t ɪ m e t ⋉	⋊ o v ɛ ɹ ɛ s t ɪ m e t ɪ d ⋉
2545	p l ʌ m p	p l ʌ m p t	plump	plumped	⋊ p l ʌ m p ⋉	⋊ p l ʌ m p t ⋉
2546	p ɚ p oʊ ɹ t	p ɚ p oʊ ɹ t ə d	purport	purported	⋊ p ɛ ɹ p o ɹ t ⋉	⋊ p ɛ ɹ p o ɹ t ɪ d ⋉
2547	s k eɪ t	s k eɪ t ə d	skate	skated	⋊ s k e t ⋉	⋊ s k e t ɪ d ⋉
2548	s t i l	s t i l d	steel	steeled	⋊ s t i l ⋉	⋊ s t i l d ⋉
2549	t ɹ ɪ k	t ɹ ɪ k t	trick	tricked	⋊ t ɹ ɪ k ⋉	⋊ t ɹ ɪ k t ⋉
2550	v eɪ k eɪ t	v eɪ k eɪ t ə d	vacate	vacated	⋊ v e k e t ⋉	⋊ v e k e t ɪ d ⋉
2551	w a f t	w a f t ə d	waft	wafted	⋊ w a f t ⋉	⋊ w a f t ɪ d ⋉
2552	w i z	w i z d	wheeze	wheezed	⋊ w i z ⋉	⋊ w i z d ⋉
2553	j æ ŋ k	j æ ŋ k t	yank	yanked	⋊ j ɑ ŋ k ⋉	⋊ j ɑ ŋ k t ⋉
2554	ɔ	ɔ d	awe	awed	⋊ ɔ ⋉	⋊ ɔ d ⋉
2555	b ɪ l ɪ t ə l	b ɪ l ɪ t ə l d	belittle	belittled	⋊ b ɪ l ɪ t ə l ⋉	⋊ b ɪ l ɪ t ə l d ⋉
2556	b ɪ l	b ɪ l d	bill	billed	⋊ b ɪ l ⋉	⋊ b ɪ l d ⋉
2557	b ʌ dʒ	b ʌ dʒ d	budge	budged	⋊ b ʌ d ʒ ⋉	⋊ b ʌ d ʒ d ⋉
2558	b ʌ t ɚ	b ʌ t ɚ d	butter	buttered	⋊ b ʌ t ɛ ɹ ⋉	⋊ b ʌ t ɛ ɹ d ⋉
2559	k ɹ ɪ n dʒ	k ɹ ɪ n dʒ d	cringe	cringed	⋊ k ɹ ɪ n d ʒ ⋉	⋊ k ɹ ɪ n d ʒ d ⋉
2560	d ɪ s p ɹ u v	d ɪ s p ɹ u v d	disprove	disproved	⋊ d ɪ s p ɹ u v ⋉	⋊ d ɪ s p ɹ u v d ⋉
2561	d ɪ s w eɪ d	d ɪ s w eɪ d ə d	dissuade	dissuaded	⋊ d ɪ s w e d ⋉	⋊ d ɪ s w e d ɪ d ⋉
2562	d w oʊ ɹ f	d w oʊ ɹ f t	dwarf	dwarfed	⋊ d w o ɹ f ⋉	⋊ d w o ɹ f t ⋉
2563	ɪ v ɪ k t	ɪ v ɪ k t ə d	evict	evicted	⋊ ɪ v ɪ k t ⋉	⋊ ɪ v ɪ k t ɪ d ⋉
2564	h ɔ k	h ɔ k t	hawk	hawked	⋊ h ɔ k ⋉	⋊ h ɔ k t ⋉
2565	dʒ ɪ ŋ g ə l	dʒ ɪ ŋ g ə l d	jingle	jingled	⋊ d ʒ ɪ ŋ g ə l ⋉	⋊ d ʒ ɪ ŋ g ə l d ⋉
2566	dʒ a t	dʒ a t ə d	jot	jotted	⋊ d ʒ a t ⋉	⋊ d ʒ a t ɪ d ⋉
2567	p ɛ n	p ɛ n d	pen	penned	⋊ p ɛ n ⋉	⋊ p ɛ n d ⋉
2568	ɹ i dʒ ɛ n ɚ eɪ t	ɹ i dʒ ɛ n ɚ eɪ t ə d	regenerate	regenerated	⋊ ɹ i d ʒ ɛ n ɛ ɹ e t ⋉	⋊ ɹ i d ʒ ɛ n ɛ ɹ e t ɪ d ⋉
2569	ɹ i ɪ t ə ɹ eɪ t	ɹ i ɪ t ə ɹ eɪ t ə d	reiterate	reiterated	⋊ ɹ i ɪ t ə ɹ e t ⋉	⋊ ɹ i ɪ t ə ɹ e t ɪ d ⋉
2570	ɹ ɪ p ɛ n t	ɹ ɪ p ɛ n t ə d	repent	repented	⋊ ɹ ɪ p ɛ n t ⋉	⋊ ɹ ɪ p ɛ n t ɪ d ⋉
2571	s k ɹ ɔ l	s k ɹ ɔ l d	scrawl	scrawled	⋊ s k ɹ ɔ l ⋉	⋊ s k ɹ ɔ l d ⋉
2572	ʃ ʌ v ə l	ʃ ʌ v ə l d	shovel	shovelled	⋊ ʃ ʌ v ə l ⋉	⋊ ʃ ʌ v ə l d ⋉
2573	s p oʊ ɹ t	s p oʊ ɹ t ə d	sport	sported	⋊ s p o ɹ t ⋉	⋊ s p o ɹ t ɪ d ⋉
2574	s t ʌ b	s t ʌ b d	stub	stubbed	⋊ s t ʌ b ⋉	⋊ s t ʌ b d ⋉
2575	t i t ɚ	t i t ɚ d	teeter	teetered	⋊ t i t ɛ ɹ ⋉	⋊ t i t ɛ ɹ d ⋉
2576	θ ʌ d	θ ʌ d ə d	thud	thudded	⋊ θ ʌ d ⋉	⋊ θ ʌ d ɪ d ⋉
2577	t ɪ p ɪ f aɪ	t ɪ p ɪ f aɪ d	typify	typified	⋊ t ɪ p ɪ f a ɪ ⋉	⋊ t ɪ p ɪ f a ɪ d ⋉
2578	ə v eɪ l	ə v eɪ l d	avail	availed	⋊ ə v e l ⋉	⋊ ə v e l d ⋉
2579	b l æ n tʃ	b l æ n tʃ t	blanch	blanched	⋊ b l ɑ n t ʃ ⋉	⋊ b l ɑ n t ʃ t ⋉
2580	b ɔ s	b ɔ s t	boss	bossed	⋊ b ɔ s ⋉	⋊ b ɔ s t ⋉
2581	k ə dʒ oʊ l	k ə dʒ oʊ l d	cajole	cajoled	⋊ k ə d ʒ o l ⋉	⋊ k ə d ʒ o l d ⋉
2582	k ə n k a k t	k ə n k a k t ə d	concoct	concocted	⋊ k ə n k a k t ⋉	⋊ k ə n k a k t ɪ d ⋉
2583	k ə n s t ɹ ɪ k t	k ə n s t ɹ ɪ k t ə d	constrict	constricted	⋊ k ə n s t ɹ ɪ k t ⋉	⋊ k ə n s t ɹ ɪ k t ɪ d ⋉
2584	k u	k u d	coo	cooed	⋊ k u ⋉	⋊ k u d ⋉
2585	ɪ n k ɹ ʌ s t	ɪ n k ɹ ʌ s t ə d	encrust	encrusted	⋊ ɪ n k ɹ ʌ s t ⋉	⋊ ɪ n k ɹ ʌ s t ɪ d ⋉
2586	ɛ k s h eɪ l	ɛ k s h eɪ l d	exhale	exhaled	⋊ ɛ k s h e l ⋉	⋊ ɛ k s h e l d ⋉
2587	f eɪ ɹ i	f eɪ ɹ i d	ferry	ferried	⋊ f e ɹ i ⋉	⋊ f e ɹ i d ⋉
2588	f ɹ ɔ s t	f ɹ ɔ s t ə d	frost	frosted	⋊ f ɹ ɔ s t ⋉	⋊ f ɹ ɔ s t ɪ d ⋉
2589	dʒ ɛ s t ɪ k j ʊ l eɪ t	dʒ ɛ s t ɪ k j ʊ l eɪ t ə d	gesticulate	gesticulated	⋊ d ʒ ɛ s t ɪ k j ʊ l e t ⋉	⋊ d ʒ ɛ s t ɪ k j ʊ l e t ɪ d ⋉
2590	g ɹ eɪ	g ɹ eɪ d	grey	greyed	⋊ g ɹ e ⋉	⋊ g ɹ e d ⋉
2591	h i d	h i d ə d	heed	heeded	⋊ h i d ⋉	⋊ h i d ɪ d ⋉
2592	ɪ n t ɚ	ɪ n t ɚ d	inter	interred	⋊ ɪ n t ɛ ɹ ⋉	⋊ ɪ n t ɛ ɹ d ⋉
2593	l i s	l i s t	lease	leased	⋊ l i s ⋉	⋊ l i s t ⋉
2594	aʊ t s t ɹ ɪ p	aʊ t s t ɹ ɪ p t	outstrip	outstripped	⋊ a ʊ t s t ɹ ɪ p ⋉	⋊ a ʊ t s t ɹ ɪ p t ⋉
2595	oʊ v ɚ ɹ ʌ n	oʊ v ɚ ɹ æ n	overrun	overran	⋊ o v ɛ ɹ ɹ ʌ n ⋉	⋊ o v ɛ ɹ ɹ ɑ n ⋉
2596	p ɛ t	p ɛ t ə d	pet	petted	⋊ p ɛ t ⋉	⋊ p ɛ t ɪ d ⋉
2597	p aʊ d ɚ	p aʊ d ɚ d	powder	powdered	⋊ p a ʊ d ɛ ɹ ⋉	⋊ p a ʊ d ɛ ɹ d ⋉
2598	ɹ æ t ɪ f aɪ	ɹ æ t ɪ f aɪ d	ratify	ratified	⋊ ɹ ɑ t ɪ f a ɪ ⋉	⋊ ɹ ɑ t ɪ f a ɪ d ⋉
2599	ɹ i k	ɹ i k t	reek	reeked	⋊ ɹ i k ⋉	⋊ ɹ i k t ⋉
2600	s ə l ɪ s ɪ t	s ə l ɪ s ɪ t ə d	solicit	solicited	⋊ s ə l ɪ s ɪ t ⋉	⋊ s ə l ɪ s ɪ t ɪ d ⋉
2601	s t eɪ k	s t eɪ k t	stake	staked	⋊ s t e k ⋉	⋊ s t e k t ⋉
2602	s u p ə ɹ ɪ m p oʊ z	s u p ə ɹ ɪ m p oʊ z d	superimpose	superimposed	⋊ s u p ə ɹ ɪ m p o z ⋉	⋊ s u p ə ɹ ɪ m p o z d ⋉
2603	t a ɹ n ɪ ʃ	t a ɹ n ɪ ʃ t	tarnish	tarnished	⋊ t a ɹ n ɪ ʃ ⋉	⋊ t a ɹ n ɪ ʃ t ⋉
2604	t ɪ ŋ k ɚ	t ɪ ŋ k ɚ d	tinker	tinkered	⋊ t ɪ ŋ k ɛ ɹ ⋉	⋊ t ɪ ŋ k ɛ ɹ d ⋉
2605	ʌ n ɚ θ	ʌ n ɚ θ t	unearth	unearthed	⋊ ʌ n ɛ ɹ θ ⋉	⋊ ʌ n ɛ ɹ θ t ⋉
2606	ʌ p	ʌ p t	up	upped	⋊ ʌ p ⋉	⋊ ʌ p t ⋉
2607	v ɛ n t	v ɛ n t ə d	vent	vented	⋊ v ɛ n t ⋉	⋊ v ɛ n t ɪ d ⋉
2608	ə d ɪ k t	ə d ɪ k t ə d	addict	addicted	⋊ ə d ɪ k t ⋉	⋊ ə d ɪ k t ɪ d ⋉
2609	b ɚ dʒ ə n	b ɚ dʒ ə n d	burgeon	burgeoned	⋊ b ɛ ɹ d ʒ ə n ⋉	⋊ b ɛ ɹ d ʒ ə n d ⋉
2610	k l æ ŋ k	k l æ ŋ k t	clank	clanked	⋊ k l ɑ ŋ k ⋉	⋊ k l ɑ ŋ k t ⋉
2611	k a b ə l	k a b ə l d	cobble	cobbled	⋊ k a b ə l ⋉	⋊ k a b ə l d ⋉
2612	k a n s ɪ k ɹ eɪ t	k a n s ɪ k ɹ eɪ t ə d	consecrate	consecrated	⋊ k a n s ɪ k ɹ e t ⋉	⋊ k a n s ɪ k ɹ e t ɪ d ⋉
2613	k ə n s aɪ n	k ə n s aɪ n d	consign	consigned	⋊ k ə n s a ɪ n ⋉	⋊ k ə n s a ɪ n d ⋉
2614	ɛ n dʒ ɪ n i ɹ	ɛ n dʒ ɪ n i ɹ d	engineer	engineered	⋊ ɛ n d ʒ ɪ n i ɹ ⋉	⋊ ɛ n d ʒ ɪ n i ɹ d ⋉
2615	i k w ə l aɪ z	i k w ə l aɪ z d	equalize	equalized	⋊ i k w ə l a ɪ z ⋉	⋊ i k w ə l a ɪ z d ⋉
2616	ɛ v ɪ d ə n s	ɛ v ɪ d ə n s t	evidence	evidenced	⋊ ɛ v ɪ d ə n s ⋉	⋊ ɛ v ɪ d ə n s t ⋉
2617	f ɛ n s	f ɛ n s t	fence	fenced	⋊ f ɛ n s ⋉	⋊ f ɛ n s t ⋉
2618	f l ɔ	f l ɔ d	flaw	flawed	⋊ f l ɔ ⋉	⋊ f l ɔ d ⋉
2619	ɪ n s aɪ t	ɪ n s aɪ t ə d	incite	incited	⋊ ɪ n s a ɪ t ⋉	⋊ ɪ n s a ɪ t ɪ d ⋉
2620	l ʌ g	l ʌ g d	lug	lugged	⋊ l ʌ g ⋉	⋊ l ʌ g d ⋉
2621	m ɛ z m ə ɹ aɪ z	m ɛ z m ə ɹ aɪ z d	mesmerize	mesmerized	⋊ m ɛ z m ə ɹ a ɪ z ⋉	⋊ m ɛ z m ə ɹ a ɪ z d ⋉
2622	n ʌ z ə l	n ʌ z ə l d	nuzzle	nuzzled	⋊ n ʌ z ə l ⋉	⋊ n ʌ z ə l d ⋉
2623	oʊ ɹ i ɛ n t eɪ t	oʊ ɹ i ɛ n t eɪ t ə d	orientate	orientated	⋊ o ɹ i ɛ n t e t ⋉	⋊ o ɹ i ɛ n t e t ɪ d ⋉
2624	p i k	p i k t	peek	peeked	⋊ p i k ⋉	⋊ p i k t ⋉
2625	p oʊ l	p oʊ l d	poll	polled	⋊ p o l ⋉	⋊ p o l d ⋉
2626	p ɹ a p ə g eɪ t	p ɹ a p ə g eɪ t ə d	propagate	propagated	⋊ p ɹ a p ə g e t ⋉	⋊ p ɹ a p ə g e t ɪ d ⋉
2627	p ɹ u n	p ɹ u n d	prune	pruned	⋊ p ɹ u n ⋉	⋊ p ɹ u n d ⋉
2628	ɹ oʊ v	ɹ oʊ v d	rove	roved	⋊ ɹ o v ⋉	⋊ ɹ o v d ⋉
2629	ʃ æ ŋ h aɪ	ʃ æ ŋ h aɪ d	shanghai	shanghaied	⋊ ʃ ɑ ŋ h a ɪ ⋉	⋊ ʃ ɑ ŋ h a ɪ d ⋉
2630	s ɪ k ə n	s ɪ k ə n d	sicken	sickened	⋊ s ɪ k ə n ⋉	⋊ s ɪ k ə n d ⋉
2631	v æ l ɪ d eɪ t	v æ l ɪ d eɪ t ə d	validate	validated	⋊ v ɑ l ɪ d e t ⋉	⋊ v ɑ l ɪ d e t ɪ d ⋉
2632	ə l aɪ n	ə l aɪ n d	align	aligned	⋊ ə l a ɪ n ⋉	⋊ ə l a ɪ n d ⋉
2633	ə s w eɪ dʒ	ə s w eɪ dʒ d	assuage	assuaged	⋊ ə s w e d ʒ ⋉	⋊ ə s w e d ʒ d ⋉
2634	b ʌ t	b ʌ t ə d	butt	butted	⋊ b ʌ t ⋉	⋊ b ʌ t ɪ d ⋉
2635	tʃ ɛ k ɚ	tʃ ɛ k ɚ d	chequer	chequered	⋊ t ʃ ɛ k ɛ ɹ ⋉	⋊ t ʃ ɛ k ɛ ɹ d ⋉
2636	k ə n v i n	k ə n v i n d	convene	convened	⋊ k ə n v i n ⋉	⋊ k ə n v i n d ⋉
2637	d a ɹ n	d a ɹ n d	darn	darned	⋊ d a ɹ n ⋉	⋊ d a ɹ n d ⋉
