lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
p ɹ ˈaɪ z	p ɹ ˈaɪ z d	67	prize	prized	∅ -> d	regular	NA	pɹˈYz	pɹˈYzd
ɹ ˈɪ d ə l	ɹ ˈɪ d ə l d	67	riddle	riddled	∅ -> d	regular	NA	ɹˈɪdəl	ɹˈɪdəld
ɹ i s t ɹ ˈʌ k tʃ ɚ	ɹ i s t ɹ ˈʌ k tʃ ɚ d	67	restructure	restructured	∅ -> d	regular	NA	ɹistɹˈʌkCɚ	ɹistɹˈʌkCɚd
ɹ ɪ v ˈi ɹ	ɹ ɪ v ˈi ɹ d	67	revere	revered	∅ -> d	regular	NA	ɹɪvˈiɹ	ɹɪvˈiɹd
s k ˈʌ t ə l	s k ˈʌ t ə l d	67	scuttle	scuttled	∅ -> d	regular	NA	skˈʌtəl	skˈʌtəld
s p ˈaɪ ɹ ə l	s p ˈaɪ ɹ ə l d	67	spiral	spiralled	∅ -> d	regular	NA	spˈYɹəl	spˈYɹəld
s w ˈɪ v ə l	s w ˈɪ v ə l d	67	swivel	swivelled	∅ -> d	regular	NA	swˈɪvəl	swˈɪvəld
t ˈeɪ p ɚ	t ˈeɪ p ɚ d	67	taper	tapered	∅ -> d	regular	NA	tˈepɚ	tˈepɚd
t ˈoʊ	t ˈoʊ d	67	tow	towed	∅ -> d	regular	NA	tˈo	tˈod
w ˈɝ s ə n	w ˈɝ s ə n d	67	worsen	worsened	∅ -> d	regular	NA	wˈɝsən	wˈɝsənd
ˈɪ m p ɹ ə v aɪ z	ˈɪ m p ɹ ə v aɪ z d	66	improvise	improvised	∅ -> d	regular	NA	ˈɪmpɹəvYz	ˈɪmpɹəvYzd
b ˈæ n d ɪ dʒ	b ˈæ n d ɪ dʒ d	66	bandage	bandaged	∅ -> d	regular	NA	bˈændɪJ	bˈændɪJd
d ɪ v ˈɝ s ɪ f aɪ	d ɪ v ˈɝ s ɪ f aɪ d	66	diversify	diversified	∅ -> d	regular	NA	dɪvˈɝsɪfY	dɪvˈɝsɪfYd
ə b s t ɹ ˈʌ k t	ə b s t ɹ ˈʌ k t ɨ d	66	obstruct	obstructed	∅ -> ɨ d	regular	NA	əbstɹˈʌkt	əbstɹˈʌktɨd
f l ˈeɪ k	f l ˈeɪ k t	66	flake	flaked	∅ -> t	regular	NA	flˈek	flˈekt
f l ˈɝ t	f l ˈɝ t ɨ d	66	flirt	flirted	∅ -> ɨ d	regular	NA	flˈɝt	flˈɝtɨd
g ˈeɪ dʒ	g ˈeɪ dʒ d	66	gauge	gauged	∅ -> d	regular	NA	gˈeJ	gˈeJd
ɪ n ɹ ˈoʊ l	ɪ n ɹ ˈoʊ l d	66	enrol	enroled	∅ -> d	regular	NA	ɪnɹˈol	ɪnɹˈold
k ˈæ m ə f l a ʒ	k ˈæ m ə f l a ʒ d	66	camouflage	camouflaged	∅ -> d	regular	NA	kˈæməflaʒ	kˈæməflaʒd
k j ˈu	k j ˈu d	66	queue	queued	∅ -> d	regular	NA	kjˈu	kjˈud
m ˈæ s	m ˈæ s t	66	mass	massed	∅ -> t	regular	NA	mˈæs	mˈæst
m ˈæ s t ɚ b eɪ t	m ˈæ s t ɚ b eɪ t ɨ d	66	masturbate	masturbated	∅ -> ɨ d	regular	NA	mˈæstɚbet	mˈæstɚbetɨd
m ˈɪ n s	m ˈɪ n s t	66	mince	minced	∅ -> t	regular	NA	mˈɪns	mˈɪnst
p ˈɪ s	p ˈɪ s t	66	piss	pissed	∅ -> t	regular	NA	pˈɪs	pˈɪst
s m ˈoʊ l d ɚ	s m ˈoʊ l d ɚ d	66	smoulder	smouldered	∅ -> d	regular	NA	smˈoldɚ	smˈoldɚd
t æ t ˈu	t æ t ˈu d	66	tattoo	tattooed	∅ -> d	regular	NA	tætˈu	tætˈud
tʃ ˈa ɹ t ɚ	tʃ ˈa ɹ t ɚ d	66	charter	chartered	∅ -> d	regular	NA	Cˈaɹtɚ	Cˈaɹtɚd
w ˈu p	w ˈu p t	66	whoop	whooped	∅ -> t	regular	NA	wˈup	wˈupt
b ɪ f ˈɔ l	b ɪ f ˈɛ l	65	befall	befell	ɔ -> ɛ	irregular	NA	bɪfˈɔl	bɪfˈɛl
d ɪ m ˈoʊ ɹ ə l aɪ z	d ɪ m ˈoʊ ɹ ə l aɪ z d	65	demoralize	demoralized	∅ -> d	regular	NA	dɪmˈoɹəlYz	dɪmˈoɹəlYzd
ə b s t ˈeɪ n	ə b s t ˈeɪ n d	65	abstain	abstained	∅ -> d	regular	NA	əbstˈen	əbstˈend
f ˈi s t	f ˈi s t ɨ d	65	feast	feasted	∅ -> ɨ d	regular	NA	fˈist	fˈistɨd
h ˈa ɹ b ɚ	h ˈa ɹ b ɚ d	65	harbour	harboured	∅ -> d	regular	NA	hˈaɹbɚ	hˈaɹbɚd
h ˈʌ s ə l	h ˈʌ s ə l d	65	hustle	hustled	∅ -> d	regular	NA	hˈʌsəl	hˈʌsəld
k ˈʌ d ə l	k ˈʌ d ə l d	65	cuddle	cuddled	∅ -> d	regular	NA	kˈʌdəl	kˈʌdəld
k ɹ ˈeɪ d ə l	k ɹ ˈeɪ d ə l d	65	cradle	cradled	∅ -> d	regular	NA	kɹˈedəl	kɹˈedəld
l ˈu t	l ˈu t ɨ d	65	loot	looted	∅ -> ɨ d	regular	NA	lˈut	lˈutɨd
m ˈeɪ l	m ˈeɪ l d	65	mail	mailed	∅ -> d	regular	NA	mˈel	mˈeld
p ˈaʊ ɚ	p ˈaʊ ɚ d	65	power	powered	∅ -> d	regular	NA	pˈWɚ	pˈWɚd
ɹ ˈæ k	ɹ ˈæ k t	65	rack	racked	∅ -> t	regular	NA	ɹˈæk	ɹˈækt
s p ˈæ n	s p ˈæ n d	65	span	spanned	∅ -> d	regular	NA	spˈæn	spˈænd
t ˈoʊ s t	t ˈoʊ s t ɨ d	65	toast	toasted	∅ -> ɨ d	regular	NA	tˈost	tˈostɨd
v ˈɔɪ s	v ˈɔɪ s t	65	voice	voiced	∅ -> t	regular	NA	vˈOs	vˈOst
ʌ n l ˈi ʃ	ʌ n l ˈi ʃ t	65	unleash	unleashed	∅ -> t	regular	NA	ʌnlˈiʃ	ʌnlˈiʃt
b l ˈu m	b l ˈu m d	64	bloom	bloomed	∅ -> d	regular	NA	blˈum	blˈumd
ə s ˈæ s ɪ n eɪ t	ə s ˈæ s ɪ n eɪ t ɨ d	64	assassinate	assassinated	∅ -> ɨ d	regular	NA	əsˈæsɪnet	əsˈæsɪnetɨd
h ˈa l ɚ	h ˈa l ɚ d	64	holler	hollered	∅ -> d	regular	NA	hˈalɚ	hˈalɚd
h ˈaɪ k	h ˈaɪ k t	64	hike	hiked	∅ -> t	regular	NA	hˈYk	hˈYkt
h j ˈu m ɚ	h j ˈu m ɚ d	64	humour	humoured	∅ -> d	regular	NA	hjˈumɚ	hjˈumɚd
ɪ n k ˈeɪ s	ɪ n k ˈeɪ s t	64	encase	encased	∅ -> t	regular	NA	ɪnkˈes	ɪnkˈest
ɪ n s k ɹ ˈaɪ b	ɪ n s k ɹ ˈaɪ b d	64	inscribe	inscribed	∅ -> d	regular	NA	ɪnskɹˈYb	ɪnskɹˈYbd
ɪ n t ˈaɪ s	ɪ n t ˈaɪ s t	64	entice	enticed	∅ -> t	regular	NA	ɪntˈYs	ɪntˈYst
m ˈæ p	m ˈæ p t	64	map	mapped	∅ -> t	regular	NA	mˈæp	mˈæpt
p ˈɝ s	p ˈɝ s t	64	purse	pursed	∅ -> t	regular	NA	pˈɝs	pˈɝst
p ˈi p	p ˈi p t	64	peep	peeped	∅ -> t	regular	NA	pˈip	pˈipt
p ɹ ə f ˈɛ s	p ɹ ə f ˈɛ s t	64	profess	professed	∅ -> t	regular	NA	pɹəfˈɛs	pɹəfˈɛst
ɹ i k ˈæ p tʃ ɚ	ɹ i k ˈæ p tʃ ɚ d	64	recapture	recaptured	∅ -> d	regular	NA	ɹikˈæpCɚ	ɹikˈæpCɚd
ɹ ɪ p ɹ ˈoʊ tʃ	ɹ ɪ p ɹ ˈoʊ tʃ t	64	reproach	reproached	∅ -> t	regular	NA	ɹɪpɹˈoC	ɹɪpɹˈoCt
s ˈæ d ə l	s ˈæ d ə l d	64	saddle	saddled	∅ -> d	regular	NA	sˈædəl	sˈædəld
s ˈɝ v ɪ s	s ˈɝ v ɪ s t	64	service	serviced	∅ -> t	regular	NA	sˈɝvɪs	sˈɝvɪst
s ə p l ˈæ n t	s ə p l ˈæ n t ɨ d	64	supplant	supplanted	∅ -> ɨ d	regular	NA	səplˈænt	səplˈæntɨd
s p ˈeɪ s	s p ˈeɪ s t	64	space	spaced	∅ -> t	regular	NA	spˈes	spˈest
a ɹ t ˈɪ k j ʊ l eɪ t	a ɹ t ˈɪ k j ʊ l eɪ t ɨ d	63	articulate	articulated	∅ -> ɨ d	regular	NA	aɹtˈɪkjʊlet	aɹtˈɪkjʊletɨd
b ɪ s ˈɛ t	b ɪ s ˈɛ t	63	beset	beset	no_change	irregular	NA	bɪsˈɛt	bɪsˈɛt
b ɹ ˈɪ dʒ	b ɹ ˈɪ dʒ d	63	bridge	bridged	∅ -> d	regular	NA	bɹˈɪJ	bɹˈɪJd
d ˈaɪ ə t	d ˈaɪ ə t ɨ d	63	diet	dieted	∅ -> ɨ d	regular	NA	dˈYət	dˈYətɨd
d ɹ ˈɪ b ə l	d ɹ ˈɪ b ə l d	63	dribble	dribbled	∅ -> d	regular	NA	dɹˈɪbəl	dɹˈɪbəld
g ˈa b ə l	g ˈa b ə l d	63	gobble	gobbled	∅ -> d	regular	NA	gˈabəl	gˈabəld
g ˈæ m b ə l	g ˈæ m b ə l d	63	gamble	gambled	∅ -> d	regular	NA	gˈæmbəl	gˈæmbəld
k ˈa m p l ɪ m ɛ n t	k ˈa m p l ɪ m ɛ n t ɨ d	63	complement	complemented	∅ -> ɨ d	regular	NA	kˈamplɪmɛnt	kˈamplɪmɛntɨd
k ɚ t ˈeɪ l	k ɚ t ˈeɪ l d	63	curtail	curtailed	∅ -> d	regular	NA	kɚtˈel	kɚtˈeld
k l ˈæ s	k l ˈæ s t	63	class	classed	∅ -> t	regular	NA	klˈæs	klˈæst
m ˈeɪ ɹ ɪ t	m ˈeɪ ɹ ɪ t ɨ d	63	merit	merited	∅ -> ɨ d	regular	NA	mˈeɹɪt	mˈeɹɪtɨd
m ˈɛ m ə ɹ aɪ z	m ˈɛ m ə ɹ aɪ z d	63	memorize	memorized	∅ -> d	regular	NA	mˈɛməɹYz	mˈɛməɹYzd
m ˈɪ t ɪ g eɪ t	m ˈɪ t ɪ g eɪ t ɨ d	63	mitigate	mitigated	∅ -> ɨ d	regular	NA	mˈɪtɪget	mˈɪtɪgetɨd
p ˈɝ s ɪ k j u t	p ˈɝ s ɪ k j u t ɨ d	63	persecute	persecuted	∅ -> ɨ d	regular	NA	pˈɝsɪkjut	pˈɝsɪkjutɨd
p l ˈa d	p l ˈa d ɨ d	63	plod	plodded	∅ -> ɨ d	regular	NA	plˈad	plˈadɨd
ɹ ˈaɪ p ə n	ɹ ˈaɪ p ə n d	63	ripen	ripened	∅ -> d	regular	NA	ɹˈYpən	ɹˈYpənd
s ˈɛ n s ɚ	s ˈɛ n s ɚ d	63	censor	censored	∅ -> d	regular	NA	sˈɛnsɚ	sˈɛnsɚd
s k ˈeɪ l	s k ˈeɪ l d	63	scale	scaled	∅ -> d	regular	NA	skˈel	skˈeld
s k ɹ ˈæ p	s k ɹ ˈæ p t	63	scrap	scrapped	∅ -> t	regular	NA	skɹˈæp	skɹˈæpt
s t ˈʌ n t	s t ˈʌ n t ɨ d	63	stunt	stunted	∅ -> ɨ d	regular	NA	stˈʌnt	stˈʌntɨd
ʃ ɹ ˈɛ d	ʃ ɹ ˈɛ d ɨ d	63	shred	shredded	∅ -> ɨ d	regular	NA	ʃɹˈɛd	ʃɹˈɛdɨd
t ˈæ g	t ˈæ g d	63	tag	tagged	∅ -> d	regular	NA	tˈæg	tˈægd
t ˈeɪ p	t ˈeɪ p t	63	tape	taped	∅ -> t	regular	NA	tˈep	tˈept
t ˈeɪ ɹ ə s	t ˈeɪ ɹ ə s t	63	terrace	terraced	∅ -> t	regular	NA	tˈeɹəs	tˈeɹəst
t ˈɛ ð ɚ	t ˈɛ ð ɚ d	63	tether	tethered	∅ -> d	regular	NA	tˈɛðɚ	tˈɛðɚd
f oʊ ɹ s t ˈɔ l	f oʊ ɹ s t ˈɔ l d	62	forestall	forestalled	∅ -> d	regular	NA	foɹstˈɔl	foɹstˈɔld
ɪ n t ˈoʊ n	ɪ n t ˈoʊ n d	62	intone	intoned	∅ -> d	regular	NA	ɪntˈon	ɪntˈond
k ˈæ p	k ˈæ p t	62	cap	capped	∅ -> t	regular	NA	kˈæp	kˈæpt
k ɹ ˈu s ɪ f aɪ	k ɹ ˈu s ɪ f aɪ d	62	crucify	crucified	∅ -> d	regular	NA	kɹˈusɪfY	kɹˈusɪfYd
l ˈæ g	l ˈæ g d	62	lag	lagged	∅ -> d	regular	NA	lˈæg	lˈægd
l ˈaʊ n dʒ	l ˈaʊ n dʒ d	62	lounge	lounged	∅ -> d	regular	NA	lˈWnJ	lˈWnJd
l ˈi tʃ	l ˈi tʃ t	62	leach	leached	∅ -> t	regular	NA	lˈiC	lˈiCt
m aɪ g ɹ ˈeɪ t	m aɪ g ɹ ˈeɪ t ɨ d	62	migrate	migrated	∅ -> ɨ d	regular	NA	mYgɹˈet	mYgɹˈetɨd
p ˈeɪ ɹ ə l ɛ l	p ˈeɪ ɹ ə l ɛ l d	62	parallel	paralleled	∅ -> d	regular	NA	pˈeɹəlɛl	pˈeɹəlɛld
ɹ ˈʌ m p ə l	ɹ ˈʌ m p ə l d	62	rumple	rumpled	∅ -> d	regular	NA	ɹˈʌmpəl	ɹˈʌmpəld
s ˈæ ŋ k ʃ ə n	s ˈæ ŋ k ʃ ə n d	62	sanction	sanctioned	∅ -> d	regular	NA	sˈæŋkʃən	sˈæŋkʃənd
s ˈɔ	s ˈɔ d	62	saw	sawed	∅ -> d	regular	NA	sˈɔ	sˈɔd
s ə b m ˈɝ dʒ	s ə b m ˈɝ dʒ d	62	submerge	submerged	∅ -> d	regular	NA	səbmˈɝJ	səbmˈɝJd
s p ˈɝ	s p ˈɝ d	62	spur	spurred	∅ -> d	regular	NA	spˈɝ	spˈɝd
ˈɛ k s aɪ l	ˈɛ k s aɪ l d	61	exile	exiled	∅ -> d	regular	NA	ˈɛksYl	ˈɛksYld
ˈɔ t oʊ m eɪ t	ˈɔ t oʊ m eɪ t ɨ d	61	automate	automated	∅ -> ɨ d	regular	NA	ˈɔtomet	ˈɔtometɨd
b ˈʌ g ɚ	b ˈʌ g ɚ d	61	bugger	buggered	∅ -> d	regular	NA	bˈʌgɚ	bˈʌgɚd
b ɹ ˈaʊ n	b ɹ ˈaʊ n d	61	brown	browned	∅ -> d	regular	NA	bɹˈWn	bɹˈWnd
d ɪ d ˈʌ k t	d ɪ d ˈʌ k t ɨ d	61	deduct	deducted	∅ -> ɨ d	regular	NA	dɪdˈʌkt	dɪdˈʌktɨd
d ɪ s l ˈa dʒ	d ɪ s l ˈa dʒ d	61	dislodge	dislodged	∅ -> d	regular	NA	dɪslˈaJ	dɪslˈaJd
g ˈʌ t	g ˈʌ t ɨ d	61	gut	gutted	∅ -> ɨ d	regular	NA	gˈʌt	gˈʌtɨd
ɪ g z ˈoʊ ɹ t	ɪ g z ˈoʊ ɹ t ɨ d	61	exhort	exhorted	∅ -> ɨ d	regular	NA	ɪgzˈoɹt	ɪgzˈoɹtɨd
ɪ m p l ˈæ n t	ɪ m p l ˈæ n t ɨ d	61	implant	implanted	∅ -> ɨ d	regular	NA	ɪmplˈænt	ɪmplˈæntɨd
ɪ n dʒ ˈɛ n d ɚ	ɪ n dʒ ˈɛ n d ɚ d	61	engender	engendered	∅ -> d	regular	NA	ɪnJˈɛndɚ	ɪnJˈɛndɚd
n ˈʌ m	n ˈʌ m d	61	numb	numbed	∅ -> d	regular	NA	nˈʌm	nˈʌmd
ɹ i ˈoʊ ɹ g ə n aɪ z	ɹ i ˈoʊ ɹ g ə n aɪ z d	61	reorganize	reorganized	∅ -> d	regular	NA	ɹiˈoɹgənYz	ɹiˈoɹgənYzd
s ˈɪ n	s ˈɪ n d	61	sin	sinned	∅ -> d	regular	NA	sˈɪn	sˈɪnd
s k ˈoʊ ɹ tʃ	s k ˈoʊ ɹ tʃ t	61	scorch	scorched	∅ -> t	regular	NA	skˈoɹC	skˈoɹCt
s p ˈa ɹ k	s p ˈa ɹ k t	61	spark	sparked	∅ -> t	regular	NA	spˈaɹk	spˈaɹkt
ʌ n ɹ ˈæ v ə l	ʌ n ɹ ˈæ v ə l d	61	unravel	unravelled	∅ -> d	regular	NA	ʌnɹˈævəl	ʌnɹˈævəld
ə k w ˈɪ t	ə k w ˈɪ t ɨ d	60	acquit	acquitted	∅ -> ɨ d	regular	NA	əkwˈɪt	əkwˈɪtɨd
f ˈʊ t	f ˈʊ t ɨ d	60	foot	footed	∅ -> ɨ d	regular	NA	fˈʊt	fˈʊtɨd
g l ˈaʊ ɚ	g l ˈaʊ ɚ d	60	glower	glowered	∅ -> d	regular	NA	glˈWɚ	glˈWɚd
ɪ dʒ ˈɛ k t	ɪ dʒ ˈɛ k t ɨ d	60	eject	ejected	∅ -> ɨ d	regular	NA	ɪJˈɛkt	ɪJˈɛktɨd
ɪ m ˈæ n s ɪ p eɪ t	ɪ m ˈæ n s ɪ p eɪ t ɨ d	60	emancipate	emancipated	∅ -> ɨ d	regular	NA	ɪmˈænsɪpet	ɪmˈænsɪpetɨd
ɪ m p l ˈoʊ ɹ	ɪ m p l ˈoʊ ɹ d	60	implore	implored	∅ -> d	regular	NA	ɪmplˈoɹ	ɪmplˈoɹd
ɪ n g ɹ ˈoʊ s	ɪ n g ɹ ˈoʊ s t	60	engross	engrossed	∅ -> t	regular	NA	ɪngɹˈos	ɪngɹˈost
ɪ v ˈæ k j u eɪ t	ɪ v ˈæ k j u eɪ t ɨ d	60	evacuate	evacuated	∅ -> ɨ d	regular	NA	ɪvˈækjuet	ɪvˈækjuetɨd
k ˈæ p ɪ t ə l aɪ z	k ˈæ p ɪ t ə l aɪ z d	60	capitalize	capitalized	∅ -> d	regular	NA	kˈæpɪtəlYz	kˈæpɪtəlYzd
l ˈu p	l ˈu p t	60	loop	looped	∅ -> t	regular	NA	lˈup	lˈupt
m ˈɛ d ɪ t eɪ t	m ˈɛ d ɪ t eɪ t ɨ d	60	meditate	meditated	∅ -> ɨ d	regular	NA	mˈɛdɪtet	mˈɛdɪtetɨd
p ɚ s ɪ v ˈi ɹ	p ɚ s ɪ v ˈi ɹ d	60	persevere	persevered	∅ -> d	regular	NA	pɚsɪvˈiɹ	pɚsɪvˈiɹd
p ɹ ɪ d ˈa m ɪ n eɪ t	p ɹ ɪ d ˈa m ɪ n eɪ t ɨ d	60	predominate	predominated	∅ -> ɨ d	regular	NA	pɹɪdˈamɪnet	pɹɪdˈamɪnetɨd
ɹ ˈɪ d ɪ k j u l	ɹ ˈɪ d ɪ k j u l d	60	ridicule	ridiculed	∅ -> d	regular	NA	ɹˈɪdɪkjul	ɹˈɪdɪkjuld
ɹ i ˈoʊ p ə n	ɹ i ˈoʊ p ə n d	60	reopen	reopened	∅ -> d	regular	NA	ɹiˈopən	ɹiˈopənd
s ˈoʊ ʃ ə l aɪ z	s ˈoʊ ʃ ə l aɪ z d	60	socialize	socialized	∅ -> d	regular	NA	sˈoʃəlYz	sˈoʃəlYzd
s ə l ˈu t	s ə l ˈu t ɨ d	60	salute	saluted	∅ -> ɨ d	regular	NA	səlˈut	səlˈutɨd
s l ˈɪ t	s l ˈɪ t	60	slit	slit	no_change	irregular	NA	slˈɪt	slˈɪt
s p l ˈɪ n t ɚ	s p l ˈɪ n t ɚ d	60	splinter	splintered	∅ -> d	regular	NA	splˈɪntɚ	splˈɪntɚd
s u p ɚ s ˈi d	s u p ɚ s ˈi d ɨ d	60	supersede	superseded	∅ -> ɨ d	regular	NA	supɚsˈid	supɚsˈidɨd
ʃ ˈæ d oʊ	ʃ ˈæ d oʊ d	60	shadow	shadowed	∅ -> d	regular	NA	ʃˈædo	ʃˈædod
t ˈaɪ l	t ˈaɪ l d	60	tile	tiled	∅ -> d	regular	NA	tˈYl	tˈYld
t ɹ æ n s p ˈaɪ ɚ	t ɹ æ n s p ˈaɪ ɚ d	60	transpire	transpired	∅ -> d	regular	NA	tɹænspˈYɚ	tɹænspˈYɚd
w ˈɛ l	w ˈɛ l d	60	well	welled	∅ -> d	regular	NA	wˈɛl	wˈɛld
b ˈɛ l tʃ	b ˈɛ l tʃ t	59	belch	belched	∅ -> t	regular	NA	bˈɛlC	bˈɛlCt
b ˈʌ k	b ˈʌ k t	59	buck	bucked	∅ -> t	regular	NA	bˈʌk	bˈʌkt
b ˈʌ n tʃ	b ˈʌ n tʃ t	59	bunch	bunched	∅ -> t	regular	NA	bˈʌnC	bˈʌnCt
d ɪ s t ɹ ˈʌ s t	d ɪ s t ɹ ˈʌ s t ɨ d	59	distrust	distrusted	∅ -> ɨ d	regular	NA	dɪstɹˈʌst	dɪstɹˈʌstɨd
d ɹ ˈʌ g	d ɹ ˈʌ g d	59	drug	drugged	∅ -> d	regular	NA	dɹˈʌg	dɹˈʌgd
dʒ ˈʌ m b ə l	dʒ ˈʌ m b ə l d	59	jumble	jumbled	∅ -> d	regular	NA	Jˈʌmbəl	Jˈʌmbəld
f ɹ ˈeɪ z	f ɹ ˈeɪ z d	59	phrase	phrased	∅ -> d	regular	NA	fɹˈez	fɹˈezd
ɪ n f l ˈeɪ t	ɪ n f l ˈeɪ t ɨ d	59	inflate	inflated	∅ -> ɨ d	regular	NA	ɪnflˈet	ɪnflˈetɨd
k l ˈæ m ɚ	k l ˈæ m ɚ d	59	clamour	clamoured	∅ -> d	regular	NA	klˈæmɚ	klˈæmɚd
k l ˈɛ n z	k l ˈɛ n z d	59	cleanse	cleansed	∅ -> d	regular	NA	klˈɛnz	klˈɛnzd
l ˈʌ n dʒ	l ˈʌ n dʒ d	59	lunge	lunged	∅ -> d	regular	NA	lˈʌnJ	lˈʌnJd
m j ˈu z	m j ˈu z d	59	muse	mused	∅ -> d	regular	NA	mjˈuz	mjˈuzd
p ˈɝ	p ˈɝ d	59	purr	purred	∅ -> d	regular	NA	pˈɝ	pˈɝd
p ɹ ˈeɪ	p ɹ ˈeɪ d	59	prey	preyed	∅ -> d	regular	NA	pɹˈe	pɹˈed
ɹ ˈæ m	ɹ ˈæ m d	59	ram	rammed	∅ -> d	regular	NA	ɹˈæm	ɹˈæmd
s ˈæ d ə n	s ˈæ d ə n d	59	sadden	saddened	∅ -> d	regular	NA	sˈædən	sˈædənd
s k ˈɪ d	s k ˈɪ d ɨ d	59	skid	skidded	∅ -> ɨ d	regular	NA	skˈɪd	skˈɪdɨd
s t ˈʌ d	s t ˈʌ d ɨ d	59	stud	studded	∅ -> ɨ d	regular	NA	stˈʌd	stˈʌdɨd
t ɹ ˈaɪ ə m f	t ɹ ˈaɪ ə m f t	59	triumph	triumphed	∅ -> t	regular	NA	tɹˈYəmf	tɹˈYəmft
b ɹ ˈeɪ k	b ɹ ˈeɪ k t	58	brake	braked	∅ -> t	regular	NA	bɹˈek	bɹˈekt
d ˈʌ b	d ˈʌ b d	58	dub	dubbed	∅ -> d	regular	NA	dˈʌb	dˈʌbd
d ɪ l ˈu d	d ɪ l ˈu d ɨ d	58	delude	deluded	∅ -> ɨ d	regular	NA	dɪlˈud	dɪlˈudɨd
d ɪ n ˈoʊ t	d ɪ n ˈoʊ t ɨ d	58	denote	denoted	∅ -> ɨ d	regular	NA	dɪnˈot	dɪnˈotɨd
ə v ˈɛ n dʒ	ə v ˈɛ n dʒ d	58	avenge	avenged	∅ -> d	regular	NA	əvˈɛnJ	əvˈɛnJd
h ˈɛ dʒ	h ˈɛ dʒ d	58	hedge	hedged	∅ -> d	regular	NA	hˈɛJ	hˈɛJd
ɪ g z ˈu d	ɪ g z ˈu d ɨ d	58	exude	exuded	∅ -> ɨ d	regular	NA	ɪgzˈud	ɪgzˈudɨd
ɪ n t ˈæ ŋ g ə l	ɪ n t ˈæ ŋ g ə l d	58	entangle	entangled	∅ -> d	regular	NA	ɪntˈæŋgəl	ɪntˈæŋgəld
p ˈɪ k ə l	p ˈɪ k ə l d	58	pickle	pickled	∅ -> d	regular	NA	pˈɪkəl	pˈɪkəld
ɹ ˈɛ l ɪ g eɪ t	ɹ ˈɛ l ɪ g eɪ t ɨ d	58	relegate	relegated	∅ -> ɨ d	regular	NA	ɹˈɛlɪget	ɹˈɛlɪgetɨd
ɹ i p l ˈeɪ	ɹ i p l ˈeɪ d	58	replay	replayed	∅ -> d	regular	NA	ɹiplˈe	ɹiplˈed
s k ˈɔ f	s k ˈɔ f t	58	scoff	scoffed	∅ -> t	regular	NA	skˈɔf	skˈɔft
s m ˈaɪ t	s m ˈoʊ t	58	smite	smote	aɪ -> oʊ	irregular	NA	smˈYt	smˈot
s n ˈi z	s n ˈi z d	58	sneeze	sneezed	∅ -> d	regular	NA	snˈiz	snˈizd
t ˈoʊ t ə l	t ˈoʊ t ə l d	58	total	totalled	∅ -> d	regular	NA	tˈotəl	tˈotəld
t ˈɔɪ l	t ˈɔɪ l d	58	toil	toiled	∅ -> d	regular	NA	tˈOl	tˈOld
t w ˈɝ l	t w ˈɝ l d	58	twirl	twirled	∅ -> d	regular	NA	twˈɝl	twˈɝld
w ˈoʊ ɹ ə n t	w ˈoʊ ɹ ə n t ɨ d	58	warrant	warranted	∅ -> ɨ d	regular	NA	wˈoɹənt	wˈoɹəntɨd
ˈæ ŋ g ə l	ˈæ ŋ g ə l d	57	angle	angled	∅ -> d	regular	NA	ˈæŋgəl	ˈæŋgəld
b ˈɛ d	b ˈɛ d ɨ d	57	bed	bedded	∅ -> ɨ d	regular	NA	bˈɛd	bˈɛdɨd
d ɪ s ə b ˈeɪ	d ɪ s ə b ˈeɪ d	57	disobey	disobeyed	∅ -> d	regular	NA	dɪsəbˈe	dɪsəbˈed
f l ˈæ g	f l ˈæ g d	57	flag	flagged	∅ -> d	regular	NA	flˈæg	flˈægd
g ɹ ˈaʊ n d	g ɹ ˈaʊ n d ɨ d	57	ground	grounded	∅ -> ɨ d	regular	NA	gɹˈWnd	gɹˈWndɨd
ɪ k s t ˈɪ ŋ g w ɪ ʃ	ɪ k s t ˈɪ ŋ g w ɪ ʃ t	57	extinguish	extinguished	∅ -> t	regular	NA	ɪkstˈɪŋgwɪʃ	ɪkstˈɪŋgwɪʃt
k ˈa n	k ˈa n d	57	con	conned	∅ -> d	regular	NA	kˈan	kˈand
k ə m ˈɛ m ə ɹ eɪ t	k ə m ˈɛ m ə ɹ eɪ t ɨ d	57	commemorate	commemorated	∅ -> ɨ d	regular	NA	kəmˈɛməɹet	kəmˈɛməɹetɨd
k ə m p j ˈu t ɚ aɪ z	k ə m p j ˈu t ɚ aɪ z d	57	computerize	computerized	∅ -> d	regular	NA	kəmpjˈutɚYz	kəmpjˈutɚYzd
k w ˈi ɹ i	k w ˈi ɹ i d	57	query	queried	∅ -> d	regular	NA	kwˈiɹi	kwˈiɹid
m ˈi ɹ ɚ	m ˈi ɹ ɚ d	57	mirror	mirrored	∅ -> d	regular	NA	mˈiɹɚ	mˈiɹɚd
n ˈɛ s ə l	n ˈɛ s ə l d	57	nestle	nestled	∅ -> d	regular	NA	nˈɛsəl	nˈɛsəld
p ˈaʊ t	p ˈaʊ t ɨ d	57	pout	pouted	∅ -> ɨ d	regular	NA	pˈWt	pˈWtɨd
